,name,description,founded_date,category_list,total_funding_amout
0,500px,We're the premier community for inspiring photography. Like & Follow us for the best images & stories on the web—from landscapes to portraits to wildlife!,"Founded: October 10, 2009","App,Mobile,Photographers,Photos,Web,Photography,Apps,Internet",22325000
0,Canva,"Amazingly simple graphic design. Canva makes graphic design amazingly simple for everyone, by bringing together a drag-and-drop design tool with a library of more than 1 million stock photographs, graphic elements and fonts.","Founded: January 01, 2012","Web Design,Simple,Graphic Design,Design,Tool,Photo Editing,Web Apps",49555000
0,Duolingo,"Free language education for the world. According to an independent study, 34 hours of Duolingo are equivalent to a full semester of language education at an average U.S. university!","Founded: November 01, 2011","E-Learning,Education,Internet,Language Learning",108300000
0,Coursera,"Coursera - We are a social entrepreneurship company that partners with the top universities in the world to offer courses online for anyone to take, for free. We envision a future where the top universities are educating not only ...
See More
thousands of students, but millions. Our technology enables the best professors to teach tens or hundreds of thousands of students.","Founded: January 01, 2012","Edtech,Education,Enterprise,Internet",210100000
0,Giphy,"Animated GIF search. The first and largest GIF search engine, where thousands of artists, brands, and pop culture moments make today’s expression, entertainment, and info a little more moving.","Founded: February 01, 2013","Internet,Photo Sharing,Search Engine",150949998
0,Freelancer,"Freelancer is the world's largest freelancing & crowdsourcing marketplace. We connect over 27 million employers & freelancers globally.

The world's largest freelancing and crowdsourcing marketplace where you can get literally any...
See More
thing you can think of done. Post your project for free.","Founded: May 01, 2009","Crowdsourcing,Freelancers,Freelancer,Freelancing,Entrepreneurs,Entrepreneurship,Work,Workforce,Workers,Future,Online Platform,Online Workspace,Projects,Project,Outsourcing",37500000
0,Coinbase,"Coinbase is a digital wallet that allows you to securely buy, use, and accept bitcoin currency.

Founded in June of 2012, Coinbase is the easiest place to buy and sell digital currency like bitcoin and ethereum.

Coinbase is a...
See More
n online platform that allows merchants, consumers, and traders to transact with digital currency. It allows its users to create their own bitcoin wallets and start buying or selling bitcoins by connecting with their bank accounts. In addition, it provides a series of merchant payment processing systems and tools that support many highly-trafficked websites on the internet. Coinbase mission is to create an open financial system for the world. It is operated from San Francisco, California.","Founded: June 01, 2012","Digital,Mobile,Web,Bitcoins,Wallet,Bitcoin,Cryptocurrency,E-Commerce,Fintech,Personal Finance",225309825
0,Telegram,"Telegram is the world's fastest and most secure messaging app – similar to IM apps like WhatsApp, but better in every detail. Pure instant messaging — simple, fast, secure, and synced across all your devices. Over 100 million acti...
See More
ve users in two and a half years.","Founded: January 01, 2013","Instant Messaging,Messaging,Security,Text Message,Apps,Cyber Security,Desktop Apps,Mobile,Mobile Apps,Privacy,Social Media,Journalism,Publishing,Advertising,News",0
0,Buffer,"Buffer is the easiest way to share the great links, pictures and videos you find to Twitter, Facebook and LinkedIn.

Buffer is an intuitive, streamlined social media management tool trusted by more than 4 million people worldwide ...
See More
to help drive meaningful engagement and results on social media.

Try it for free today! www.buffer.com

Buffer is an intuitive, streamlined social media management tool trusted by brands, businesses, agencies, and individuals to help drive meaningful engagement and results on social media. 

Over 4 million people have signed up to use our suite of publishing, analytics, and collaboration tools, all of which are carefully-chosen and highly-refined in order to help social media marketers and teams work more efficiently and effectively. 

Try it today at: www.buffer.com

Buffer is a team of real people, aligned in common values. Being a Buffer customer should feel like you have a whole team of people cheering for you. 

Check out our Buffer Social Blog for top social media and marketing resources and articles!

blog.buffer.com/

We're on a continual journey to greater productivity, more transparency, and a happier work culture.

Learn more about our team here: buffer.com/about 

We're excited to see you succeed on social!

- The Buffer Team","Founded: October 12, 2010","Buffer,Twitter,Scheduling,Automation,Apps,Internet,Social Media",3900000
0,TransferWise,"TransferWise lets expats, foreign students and businesses move money wherever it's needed, at the lowest possible cost. No hidden fees, no headache.

Sending money abroad is deceptively expensive, thanks to the hidden charges we...
See More
’ve all been forced to pay. Now TransferWise lets expats, foreign students and businesses move money wherever it's needed, at the lowest possible cost. No hidden charges, no headache.","Founded: March 01, 2010","Money Service,Money Transfers,Save Money,Fintech,Finance,Financial Services,Payments,Peer To Peer",396350000
0,IFTTT,"IFTTT (if this then that) puts the internet to work for you by combining existing online services such as Facebook, Twitter, etc. You simply create a task by defining a trigger and an action. For example “when someone tags me in a...
See More
 Facebook photo” (trigger), “send me a text message” (action).","Founded: December 14, 2010","Services,Notifications,Text Message,Information Services,Information Technology,Internet",38500000
0,Teespring,"Teespring is a platform that makes it easy for anyone to create and sell high-quality products people love, with no cost or risk. 

Teespring is a commerce platform that enables anyone to create and sell products that people love,...
See More
 with no cost or risk. Teespring powers al aspects of bringing merchandise to life from production and manufacturing to supply chain, logistics, and customer service. By unlocking commerce for everyone, Teespring is creating new opportunities for entrepreneurs, influencers, community organizers, and anyone who rallies communities around specific causes or passions. 

For Customer Support, please visit: answers.teespring.com/.","Founded: January 01, 2011","Creative,Sell Online,T-shirts,Design,Web,Creation,Crowdfunding,E-Commerce,Fashion",61875000
0,DoorDash,"DoorDash - Delightful food delivery in San Francisco Bay Area, Los Angeles, Boston, Chicago, Orange County, and more soon!

Delivering good. Your favorite restaurants—right to your door. 

Order now at doordash.com or download our...
See More
 app in the Apple App Store or Google Play Store.

DoorDash empowers small business owners to offer delivery in an affordable and convenient way. We are achieving this mission first by enabling restaurant food delivery. www.doordash.com","Founded: January 01, 2013","Food,Food Delivery,Restaurants,Mobile,Web,Delivery,Local,Logistics,Small and Medium Businesses",186700000
0,Ahrefs,"Ahrefs is trusted by SEOs and marketing professionals worldwide as the ultimate toolset for SEO, powered by industry-leading data. Ahrefs crawls the web, stores tons of data and makes it easily accessible via a simple user interfa...
See More
ce. The data can be used to aid keyword research, link building, content marketing and SEO strategies. Ultimately, the tool helps to accelerate the growth of organic search traffic to a website.","Founded: January 01, 2011","SEO,SEO Software,Content Marketing,Search Engine Optimization,Search Engine,Search Engines,Search Marketing,Content Discovery,Content Analysis",0
0,Fiverr,"On Fiverr you can surf through a wide variety of categories that span from fun and quirky gigs to essential business services. With over 750,000 gigs offered by people from over 200 countries worldwide, you'll have no trouble find...
See More
ing what you need plus a few things that you just want!

Our horizontal marketplace provides nearly any digital service in just one click, without haggling over the service deliverables or the price. Buyers can choose from the world’s largest catalog of pre-packaged services ranging from graphic design to music/video editing to marketing and copywriting. Fiverr sellers looking to make extra cash have delivered millions of high-quality Gigs® from 150+ categories of services, and across 196 countries.","Founded: February 01, 2010","Stuff,Web,Tasks,Gigs,Services,Collaborative Consumption,Outsourcing,Task Management",111000000
0,WeChat,"WeChat puts all of your social needs at your fingertips! Keep in touch with everyone important with this comprehensive feature suite: voice chatting, text messaging, photo and video exchange, and sharing of personal photo journals...
See More
 of your lives' highlights.

Over 700 million people use WeChat, the free messaging & calling app that allows you to easily connect with family & friends across countries. It’s the all-in-one communications app for free text (SMS/MMS), voice & video calls, moments, photo sharing, games and more.","Founded: January 01, 2012",,0
0,Traveloka,"Traveloka.com is an Indonesian flight booking website with a mission to make travel simpler and more compelling. The Jakarta-based online flight booking was founded by Indonesian engineers with years of experience working for repu...
See More
table tech companies in Silicon Valley, US. Traveloka.com previously raised its series A investment from Global Founders Capital and early stage investment from East Ventures.","Founded: January 01, 2012","Booking,Flights,Simple,Big Data,In-Flight Entertainment,Travel",500000000
0,Skillshare,"Skillshare is a global community where you can learn real-world skills from incredible teachers.

Skillshare is an online learning community where anyone can discover, take, or even teach a class. 

We started Skillshare to cl...
See More
ose the professional skills gap and provide universal access to high-quality learning. By teaching the skills needed in tomorrow’s world, Skillshare empowers people to advance their careers, improve their lives, and pursue the work they love.","Founded: December 01, 2010","Skills,Online Learning,Social Community,Web,E-Commerce,E-Learning,Edtech,Education",22750168
0,SproutSocial,"Sprout Social is a social media management tool created to help businesses find new customers & grow their social media presence.

Sprout Social is a social media management and engagement platform for business. Have any questions...
See More
? Say hello at [email protected]

Sprout Social is known for its intuitive, easy-to-use web and mobile platform.","Founded: January 01, 2010","Management,Social Media,Tools,Web,Social Media Management,Social Media Marketing,Apps,Search Engine,Software",61000000
0,WeTransfer,"WeTransfer - Send files without the complications of logins, signup forms, data capture and interruptive advertising.

WeTransfer is the simplest way to send your files around the world.","Founded: December 01, 2009","Cloud Data Services,File Sharing,Internet",0
0,Zapier,"Zapier lets you create integrations between the business web applications you use every day without writing a single line of code.

Bye, bye duplicate data entry.

Zapier enables users to connect the web apps they use to move...
See More
 data between them; and use event-based automation to avoid repetitive tasks. Users can explore a list of over 400 apps in the library and find the ones they use.","Founded: October 01, 2011","SaaS,Integrations,API,System,Cloud Computing,Data Integration,Software",1300000
0,About.me,"It’s all about you! about.me makes it easy for people to find and learn about you and Grow your audience and get more clients.

About.me was founded in 2010 by CEO Tony Conrad, CPO Ryan Freitas and Tim Young. In February 2013, a...
See More
bout.me was bought back from AOL by founders Tony Conrad and Ryan Freitas along with the about.me management team.","Founded: January 01, 2010","Identity,Meet People,Search,People,Identity Management,Internet,Advertising,Brand Marketing,Social Media,Sports,Software,Security,Privacy,Photography,Photo Sharing,Association,Non Profit,Health Diagnostics,Medical,Health Care",17087500
0,Trendyol,"Trendyol.com seçkin markaları, özel fiyatlarla sunarak üyelerine, ayrıcalıklı alışveriş deneyimi yaşatan özel bir alışveriş sitesidir.

Takip Edebilirsiniz:
www.instagram.com/trendyolcom
www.twitter.com/trendyol
www.youtube.com/tr...
See More
endyol

10 milyonu aşkın müşteriye sahip olan Trendyol grubu, moda sektöründeki en büyük internet şirketidir. 

700 kişilik dinamik ve deneyimli çalışan kadrosu, 7/24 müşteri hizmetleri, sürekli geliştirdiği teknoloji ve lojistik alt yapısı sayesinde 1000’den fazla markayı müşterilerine en iyi online alışveriş deneyimi ile sunar.","Founded: November 01, 2009","E-Commerce,Fashion,Shopping",36297590
0,TradingView,"TradingView is not just an awesome tool, it’s also home to a global community of investors and traders who discuss their ideas. You can expand your knowledge for free by learning from them and share your ideas to get feedback. Mak...
See More
e your name in the trading community and get discovered by trading firms, or find other career opportunities in the financial sector through your new friends.","Founded: September 01, 2011","Android,Cloud Computing,Education,Finance,Internet,Social Media,Stock Exchanges,IOS",3752500
0,Designmodo,"Designmodo creates websites and email builders designed for developers and non-tech users, in addition to services such as the Designmodo Market and Designmodo Jobs.","Founded: August 01, 2010","Design,Web Development,Web Design,Website Builder,Email Newsletters",0
0,Pearltrees,"Pearltrees is the social curation community. It's the place where you can organize, discover and share the stuff you like on the web.

Pearltrees is a place to organize your interests. This free service lets you organize, explor...
See More
e and share everything you like. Save web pages, files, photos or notes and organize them naturally. Explore amazing collections that relate to your interests and subscribe to their updates. Access your account anytime and share anything from your computer, mobile and tablet.","Founded: March 01, 2009","Curation,Community,Social,Education,Enterprise,Social Bookmarking",10400000
0,Instacart,"Instacart is a same-day grocery delivery service. We connect you with Personal Shoppers in your area who pick up and deliver your groceries, so you don’t have to! Our Shoppers visit your favorite local stores and deliver in as lit...
See More
tle as 1 hour!","Founded: July 01, 2012","Delivery,E-Commerce,Grocery,Same Day Delivery",884800000
0,Bukalapak,"Bukalapak - Place of selling / buying the most comfortable & safe online with Payment System which ensures buyers and sellers 100% risk free online scams. Bukalapak.com, Sell Buy Easy & Reliable.

Bukalapak.com adalah sarana jua...
See More
l/beli online di Indonesia yang paling nyaman & aman. Didirikan pada tahun 2010 oleh anak-anak muda Indonesia yang ingin membantu mengembangkan UMKM di Indonesia untuk meningkatkan kesejahteraan masyarakat. Kini Bukalapak.com memiliki lebih dari 100 ribu penjual dan 700 ribu barang. Kategori produk yang dimiliki Bukalapak.com pun beraneka-ragam.","Founded: September 11, 2011","Marketplaces,Sell Online,Online Stores,E-Commerce,Marketplace,Online Portals",0
0,8tracks,"8tracks is a simple way for people to share and discover music through an online mix, a short playlist containing at least 30 minutes — roughly 8 tracks — of music.

8tracks believes handcrafted music programming trumps algorith...
See More
ms. Think radio in the 1970s, mixtapes in the 1980s, and DJ culture of the 1990s through today.","Founded: August 08, 2008","Music,Radio,Discovery,Internet Radio,Media and Entertainment",7709877
0,Revolut,"A secure, mobile-based current account that allows you to hold, exchange and transfer without fees in 25 different currencies.

Need help? Customer support is available Mon-Fri: 8am - 10pm UKT and Sat-Sun: 12pm - 6pm UKT 

24/7 ex...
See More
clusive customer support to all Premium accounts","Founded: July 01, 2015","Payments,Finance,Bank,Banking Tech,Banking,Insurance,Customer Service,Financial Services,Information Technology",82250000
0,Sticker Mule,"Sticker Mule is the easiest way to buy and sell custom stickers.

Custom printing that kicks ass. Easy online ordering, 4 day turnaround and free shipping.

* Free shipping 
* Unlimited online proofs
* Fast turnaround
* 20,000+ re...
See More
views 
* Internet's favorite sticker printer","Founded: January 01, 2010","E-Commerce,Printing,Customized Merchandise,Stickers,Web,Advertising,Manufacturing,Marketing",0
0,Teachable,"Teachable is a multi-tenant, unbranded online course platform -- it's like the Shopify or Squarespace of building and selling online courses.
In addition to an elegant set of course creation tools, our platform provides a huge an...
See More
d ever-growing variety of sales tools, including page builders, easy-to-use localization, fully editable page templates, deep analytics, and a huge number of pricing and discounting options designed to make selling as seamless, automated, and configurable as humanly possible.","Founded: October 01, 2013","Courses,E-Learning,Education,Online Portals,Marketplace,E-Commerce Platforms,Edtech",8580000
0,Babbel,"Interactive online courses on the web and as mobile apps for English - Spanish - German - French - Italian - Portuguese - Swedish - Turkish - Polish - Dutch - Indonesian - Norwegian and Danish. Try Babbel for free!

Speak the la...
See More
nguage like you’ve always wanted to!

When learning a language, nothing is more motivating than the dream of being able to chat with someone in his or her own native tongue. That's why, to get learners conversational fast, Babbel builds courses around real-life topics and everyday situations that are fun, relevant and easy to practice.
On your daily commute to work or relaxing on your sofa at the end of the day, you can use Babbel to learn a language wherever and whenever you want. And if you ever get stuck, just remember — we're always here to help!","Founded: August 01, 2007","Courses,Online,Free,Web App,Mobile App,Apps,Edtech,Education,Internet,Language Learning",33300000
0,Treehouse,"Treehouse aims to be the best way to learn web design and development. Learn how to build websites & apps, write code or start a business.

Treehouse is an online technology school that offers beginner to advanced courses in web...
See More
 design, web development, mobile development and game development taught by a team of dedicated expert teachers.","Founded: November 01, 2011","Businesses,Coding,Development,Learning,Web Design,Android,E-Learning,Edtech,Education,Web Development,IOS,Commercial Real Estate,Communities,Retail,Home And Garden,Energy",28350000
0,Stores,Stores - 最短２分で、誰にでも簡単にオンラインストアが作れる『Stores.jp（ストアーズ・ドット・ジェーピー）』。,,,0
0,Mapbox,"Mapbox is one of the biggest providers of custom online maps for major websites such as Foursquare, Pinterest, Evernote, the Financial Times and Uber Technologies. Since 2010, it has rapidly expanded the niche of custom maps, as a...
See More
 response to the limited choice offered by map providers such as Google Maps.

Mapbox is a mapping platform for developers. Our building blocks make it easy to integrate location into any mobile or online application. We want to change the way people move around cities and understand our planet.","Founded: March 01, 2010","Maps,Custom,Integration,Web,Geo Location,Business Intelligence,Cloud Computing,Data Visualization,Enterprise Software,Location Based Services,Mapping Services,Open Source",227175000
0,LocalBitcoins,"LocalBitcoins.com is a marketplace for trading bitcoins locally to cash or online payments of your choice.

localbitcoins.com - Buy and sell bitcoins. Fast, safe and near you.

To contact customer support, go to localbitcoins.com/...
See More
support","Founded: January 01, 2012","Bitcoin,Financial Exchanges,Virtual Currency",0
0,SKOOB,"Diga-me que livro você está lendo, que te direi quem és. Essa foi a premissa usada para a criação do site de relacionamentos que é um dos maiores sucessos da internet no Brasil. 

O Skoob reune leitores de todos os lugares, que ...
See More
se reúnem para conversar sobre literatura, trocar experiências sobre hábitos de leitura, defender seus autores prediletos, criticar os livros que não gostam, enfim, discutir, de um jeito saudável e informal, sobre suas preferências. Com isso, estimula a reflexão, propaga o conhecimento, incentiva a expansão cultural e ainda contribui para a divulgação de novos escritores.","Founded: January 01, 2009","Books,Community,Web,Literacy,Social Bookmarking,Social Media",0
